id,input_tokens,output
2511,C_07 C_25 C_27,0-5-2
2512,C_07 C_25 C_28,0-7-0
2513,C_07 C_25 C_29,0-5-0
2514,C_07 C_26 C_27,1-3-0
2515,C_07 C_26 C_28,1-7-3
2516,C_07 C_26 C_29,1-2-3
2517,C_07 C_27 C_28,1-7-0
2518,C_07 C_27 C_29,1-3-0
2519,C_07 C_28 C_29,1-7-3
2520,C_08 C_09 C_10,1-5-2
2521,C_08 C_09 C_11,1-5-1
2522,C_08 C_09 C_12,0-5-2
2523,C_08 C_09 C_13,1-6-4
2524,C_08 C_09 C_14,0-9-1
2525,C_08 C_09 C_15,1-5-4
2526,C_08 C_09 C_16,1-5-4
2527,C_08 C_09 C_17,1-5-2
2528,C_08 C_09 C_18,0-7-1
2529,C_08 C_09 C_19,1-5-1
2530,C_08 C_09 C_20,1-5-4
2531,C_08 C_09 C_21,1-8-0
2532,C_08 C_09 C_22,1-7-2
2533,C_08 C_09 C_23,0-8-0
2534,C_08 C_09 C_24,0-5-0
2535,C_08 C_09 C_25,1-5-2
2536,C_08 C_09 C_26,0-5-0
2537,C_08 C_09 C_27,0-5-2
2538,C_08 C_09 C_28,0-7-0
2539,C_08 C_09 C_29,0-5-0
2540,C_08 C_10 C_11,1-5-2
2541,C_08 C_10 C_12,0-5-3
2542,C_08 C_10 C_13,1-6-0
2543,C_08 C_10 C_14,0-9-2
2544,C_08 C_10 C_15,1-5-0
2545,C_08 C_10 C_16,1-5-0
2546,C_08 C_10 C_17,1-5-3
2547,C_08 C_10 C_18,0-7-2
2548,C_08 C_10 C_19,1-5-2
2549,C_08 C_10 C_20,1-5-0
2550,C_08 C_10 C_21,1-8-1
2551,C_08 C_10 C_22,1-7-3
2552,C_08 C_10 C_23,0-8-1
2553,C_08 C_10 C_24,0-5-1
2554,C_08 C_10 C_25,1-5-3
2555,C_08 C_10 C_26,0-5-1
2556,C_08 C_10 C_27,0-5-3
2557,C_08 C_10 C_28,0-7-1
2558,C_08 C_10 C_29,0-5-1
2559,C_08 C_11 C_12,0-5-2
2560,C_08 C_11 C_13,1-6-4
2561,C_08 C_11 C_14,0-9-1
2562,C_08 C_11 C_15,1-5-4
2563,C_08 C_11 C_16,1-5-4
2564,C_08 C_11 C_17,1-5-2
2565,C_08 C_11 C_18,0-7-1
2566,C_08 C_11 C_19,1-5-1
2567,C_08 C_11 C_20,1-5-4
2568,C_08 C_11 C_21,1-8-0
2569,C_08 C_11 C_22,1-7-2
2570,C_08 C_11 C_23,0-8-0
2571,C_08 C_11 C_24,0-5-0
2572,C_08 C_11 C_25,1-5-2
2573,C_08 C_11 C_26,0-5-0
2574,C_08 C_11 C_27,0-5-2
2575,C_08 C_11 C_28,0-7-0
2576,C_08 C_11 C_29,0-5-0
2577,C_08 C_12 C_13,0-6-0
2578,C_08 C_12 C_14,1-9-2
2579,C_08 C_12 C_15,0-5-0
2580,C_08 C_12 C_16,0-5-0
2581,C_08 C_12 C_17,0-5-3
2582,C_08 C_12 C_18,1-7-2
2583,C_08 C_12 C_19,0-5-2
2584,C_08 C_12 C_20,0-5-0
2585,C_08 C_12 C_21,0-8-1
2586,C_08 C_12 C_22,0-7-3
2587,C_08 C_12 C_23,1-8-1
2588,C_08 C_12 C_24,1-5-1
2589,C_08 C_12 C_25,0-5-3
2590,C_08 C_12 C_26,1-5-1
2591,C_08 C_12 C_27,1-5-3
2592,C_08 C_12 C_28,1-7-1
2593,C_08 C_12 C_29,1-5-1
2594,C_08 C_13 C_14,0-9-4
2595,C_08 C_13 C_15,1-6-2
2596,C_08 C_13 C_16,1-6-2
2597,C_08 C_13 C_17,1-6-0
2598,C_08 C_13 C_18,0-7-4
2599,C_08 C_13 C_19,1-6-4
2600,C_08 C_13 C_20,1-6-2
2601,C_08 C_13 C_21,1-8-3
2602,C_08 C_13 C_22,1-7-0
2603,C_08 C_13 C_23,0-8-3
2604,C_08 C_13 C_24,0-6-3
2605,C_08 C_13 C_25,1-6-0
2606,C_08 C_13 C_26,0-6-3
2607,C_08 C_13 C_27,0-6-0
2608,C_08 C_13 C_28,0-7-3
2609,C_08 C_13 C_29,0-6-3
2610,C_08 C_14 C_15,0-9-4
2611,C_08 C_14 C_16,0-9-4
2612,C_08 C_14 C_17,0-9-2
2613,C_08 C_14 C_18,1-9-1
2614,C_08 C_14 C_19,0-9-1
2615,C_08 C_14 C_20,0-9-4
2616,C_08 C_14 C_21,0-9-0
2617,C_08 C_14 C_22,0-9-2
2618,C_08 C_14 C_23,1-9-0
2619,C_08 C_14 C_24,1-9-0
2620,C_08 C_14 C_25,0-9-2
2621,C_08 C_14 C_26,1-9-0
2622,C_08 C_14 C_27,1-9-2
2623,C_08 C_14 C_28,1-9-0
2624,C_08 C_14 C_29,1-9-0
2625,C_08 C_15 C_16,1-5-2
2626,C_08 C_15 C_17,1-5-0
2627,C_08 C_15 C_18,0-7-4
2628,C_08 C_15 C_19,1-5-4
2629,C_08 C_15 C_20,1-5-2
2630,C_08 C_15 C_21,1-8-3
2631,C_08 C_15 C_22,1-7-0
2632,C_08 C_15 C_23,0-8-3
2633,C_08 C_15 C_24,0-5-3
2634,C_08 C_15 C_25,1-5-0
2635,C_08 C_15 C_26,0-5-3
2636,C_08 C_15 C_27,0-5-0
2637,C_08 C_15 C_28,0-7-3
2638,C_08 C_15 C_29,0-5-3
2639,C_08 C_16 C_17,1-5-0
2640,C_08 C_16 C_18,0-7-4
2641,C_08 C_16 C_19,1-5-4
2642,C_08 C_16 C_20,1-5-2
2643,C_08 C_16 C_21,1-8-3
2644,C_08 C_16 C_22,1-7-0
2645,C_08 C_16 C_23,0-8-3
2646,C_08 C_16 C_24,0-5-3
2647,C_08 C_16 C_25,1-5-0
2648,C_08 C_16 C_26,0-5-3
2649,C_08 C_16 C_27,0-5-0
2650,C_08 C_16 C_28,0-7-3
2651,C_08 C_16 C_29,0-5-3
2652,C_08 C_17 C_18,0-7-2
2653,C_08 C_17 C_19,1-5-2
2654,C_08 C_17 C_20,1-5-0
2655,C_08 C_17 C_21,1-8-1
2656,C_08 C_17 C_22,1-7-3
2657,C_08 C_17 C_23,0-8-1
2658,C_08 C_17 C_24,0-5-1
2659,C_08 C_17 C_25,1-5-3
2660,C_08 C_17 C_26,0-5-1
2661,C_08 C_17 C_27,0-5-3
2662,C_08 C_17 C_28,0-7-1
2663,C_08 C_17 C_29,0-5-1
2664,C_08 C_18 C_19,0-7-1
2665,C_08 C_18 C_20,0-7-4
2666,C_08 C_18 C_21,0-8-0
2667,C_08 C_18 C_22,0-7-2
2668,C_08 C_18 C_23,1-8-0
2669,C_08 C_18 C_24,1-7-0
2670,C_08 C_18 C_25,0-7-2
2671,C_08 C_18 C_26,1-7-0
2672,C_08 C_18 C_27,1-7-2
2673,C_08 C_18 C_28,1-7-0
2674,C_08 C_18 C_29,1-7-0
2675,C_08 C_19 C_20,1-5-4
2676,C_08 C_19 C_21,1-8-0
2677,C_08 C_19 C_22,1-7-2
2678,C_08 C_19 C_23,0-8-0
2679,C_08 C_19 C_24,0-5-0
2680,C_08 C_19 C_25,1-5-2
2681,C_08 C_19 C_26,0-5-0
2682,C_08 C_19 C_27,0-5-2
2683,C_08 C_19 C_28,0-7-0
2684,C_08 C_19 C_29,0-5-0
2685,C_08 C_20 C_21,1-8-3
2686,C_08 C_20 C_22,1-7-0
2687,C_08 C_20 C_23,0-8-3
2688,C_08 C_20 C_24,0-5-3
2689,C_08 C_20 C_25,1-5-0
2690,C_08 C_20 C_26,0-5-3
2691,C_08 C_20 C_27,0-5-0
2692,C_08 C_20 C_28,0-7-3
2693,C_08 C_20 C_29,0-5-3
2694,C_08 C_21 C_22,1-8-1
2695,C_08 C_21 C_23,0-8-4
2696,C_08 C_21 C_24,0-8-4
2697,C_08 C_21 C_25,1-8-1
2698,C_08 C_21 C_26,0-8-4
2699,C_08 C_21 C_27,0-8-1
2700,C_08 C_21 C_28,0-8-4
2701,C_08 C_21 C_29,0-8-4
2702,C_08 C_22 C_23,0-8-1
2703,C_08 C_22 C_24,0-7-1
2704,C_08 C_22 C_25,1-7-3
2705,C_08 C_22 C_26,0-7-1
2706,C_08 C_22 C_27,0-7-3
2707,C_08 C_22 C_28,0-7-1
2708,C_08 C_22 C_29,0-7-1
2709,C_08 C_23 C_24,1-8-4
2710,C_08 C_23 C_25,0-8-1
2711,C_08 C_23 C_26,1-8-4
2712,C_08 C_23 C_27,1-8-1
2713,C_08 C_23 C_28,1-8-4
2714,C_08 C_23 C_29,1-8-4
2715,C_08 C_24 C_25,0-5-1
2716,C_08 C_24 C_26,1-5-4
2717,C_08 C_24 C_27,1-5-1
2718,C_08 C_24 C_28,1-7-4
2719,C_08 C_24 C_29,1-5-4
2720,C_08 C_25 C_26,0-5-1
2721,C_08 C_25 C_27,0-5-3
2722,C_08 C_25 C_28,0-7-1
2723,C_08 C_25 C_29,0-5-1
2724,C_08 C_26 C_27,1-5-1
2725,C_08 C_26 C_28,1-7-4
2726,C_08 C_26 C_29,1-5-4
2727,C_08 C_27 C_28,1-7-1
2728,C_08 C_27 C_29,1-5-1
2729,C_08 C_28 C_29,1-7-4
2730,C_09 C_10 C_11,0-5-2
2731,C_09 C_10 C_12,1-3-3
2732,C_09 C_10 C_13,0-6-0
2733,C_09 C_10 C_14,1-9-2
2734,C_09 C_10 C_15,0-3-0
2735,C_09 C_10 C_16,0-4-0
2736,C_09 C_10 C_17,0-3-3
2737,C_09 C_10 C_18,1-7-2
2738,C_09 C_10 C_19,0-5-2
2739,C_09 C_10 C_20,0-4-0
2740,C_09 C_10 C_21,0-8-1
2741,C_09 C_10 C_22,0-7-3
2742,C_09 C_10 C_23,1-8-1
2743,C_09 C_10 C_24,1-3-1
2744,C_09 C_10 C_25,0-5-3
2745,C_09 C_10 C_26,1-3-1
2746,C_09 C_10 C_27,1-3-3
2747,C_09 C_10 C_28,1-7-1
2748,C_09 C_10 C_29,1-3-1
2749,C_09 C_11 C_12,1-5-2
2750,C_09 C_11 C_13,0-6-4
2751,C_09 C_11 C_14,1-9-1
2752,C_09 C_11 C_15,0-5-4
2753,C_09 C_11 C_16,0-5-4
2754,C_09 C_11 C_17,0-5-2
2755,C_09 C_11 C_18,1-7-1
2756,C_09 C_11 C_19,0-5-1
2757,C_09 C_11 C_20,0-5-4
2758,C_09 C_11 C_21,0-8-0
2759,C_09 C_11 C_22,0-7-2
2760,C_09 C_11 C_23,1-8-0
2761,C_09 C_11 C_24,1-5-0
2762,C_09 C_11 C_25,0-5-2
2763,C_09 C_11 C_26,1-5-0
2764,C_09 C_11 C_27,1-5-2
2765,C_09 C_11 C_28,1-7-0
2766,C_09 C_11 C_29,1-5-0
2767,C_09 C_12 C_13,1-6-0
2768,C_09 C_12 C_14,0-9-2
2769,C_09 C_12 C_15,1-3-0
2770,C_09 C_12 C_16,1-4-0
2771,C_09 C_12 C_17,1-3-3
2772,C_09 C_12 C_18,0-7-2
2773,C_09 C_12 C_19,1-5-2
2774,C_09 C_12 C_20,1-4-0
2775,C_09 C_12 C_21,1-8-1
2776,C_09 C_12 C_22,1-7-3
2777,C_09 C_12 C_23,0-8-1
2778,C_09 C_12 C_24,0-3-1
2779,C_09 C_12 C_25,1-5-3
2780,C_09 C_12 C_26,0-3-1
2781,C_09 C_12 C_27,0-3-3
2782,C_09 C_12 C_28,0-7-1
2783,C_09 C_12 C_29,0-3-1
2784,C_09 C_13 C_14,1-9-4
2785,C_09 C_13 C_15,0-6-2
2786,C_09 C_13 C_16,0-6-2
2787,C_09 C_13 C_17,0-6-0
2788,C_09 C_13 C_18,1-7-4
2789,C_09 C_13 C_19,0-6-4
2790,C_09 C_13 C_20,0-6-2
2791,C_09 C_13 C_21,0-8-3
2792,C_09 C_13 C_22,0-7-0
2793,C_09 C_13 C_23,1-8-3
2794,C_09 C_13 C_24,1-6-3
2795,C_09 C_13 C_25,0-6-0
2796,C_09 C_13 C_26,1-6-3
2797,C_09 C_13 C_27,1-6-0
2798,C_09 C_13 C_28,1-7-3
2799,C_09 C_13 C_29,1-6-3
2800,C_09 C_14 C_15,1-9-4
2801,C_09 C_14 C_16,1-9-4
2802,C_09 C_14 C_17,1-9-2
2803,C_09 C_14 C_18,0-9-1
2804,C_09 C_14 C_19,1-9-1
2805,C_09 C_14 C_20,1-9-4
2806,C_09 C_14 C_21,1-9-0
2807,C_09 C_14 C_22,1-9-2
2808,C_09 C_14 C_23,0-9-0
2809,C_09 C_14 C_24,0-9-0
2810,C_09 C_14 C_25,1-9-2
2811,C_09 C_14 C_26,0-9-0
2812,C_09 C_14 C_27,0-9-2
2813,C_09 C_14 C_28,0-9-0
2814,C_09 C_14 C_29,0-9-0
2815,C_09 C_15 C_16,0-4-2
2816,C_09 C_15 C_17,0-3-0
2817,C_09 C_15 C_18,1-7-4
2818,C_09 C_15 C_19,0-5-4
2819,C_09 C_15 C_20,0-4-2
2820,C_09 C_15 C_21,0-8-3
2821,C_09 C_15 C_22,0-7-0
2822,C_09 C_15 C_23,1-8-3
2823,C_09 C_15 C_24,1-3-3
2824,C_09 C_15 C_25,0-5-0
2825,C_09 C_15 C_26,1-3-3
2826,C_09 C_15 C_27,1-3-0
2827,C_09 C_15 C_28,1-7-3
2828,C_09 C_15 C_29,1-3-3
2829,C_09 C_16 C_17,0-4-0
2830,C_09 C_16 C_18,1-7-4
2831,C_09 C_16 C_19,0-5-4
2832,C_09 C_16 C_20,0-4-2
2833,C_09 C_16 C_21,0-8-3
2834,C_09 C_16 C_22,0-7-0
2835,C_09 C_16 C_23,1-8-3
2836,C_09 C_16 C_24,1-4-3
2837,C_09 C_16 C_25,0-5-0
2838,C_09 C_16 C_26,1-4-3
2839,C_09 C_16 C_27,1-4-0
2840,C_09 C_16 C_28,1-7-3
2841,C_09 C_16 C_29,1-4-3
2842,C_09 C_17 C_18,1-7-2
2843,C_09 C_17 C_19,0-5-2
2844,C_09 C_17 C_20,0-4-0
2845,C_09 C_17 C_21,0-8-1
2846,C_09 C_17 C_22,0-7-3
2847,C_09 C_17 C_23,1-8-1
2848,C_09 C_17 C_24,1-3-1
2849,C_09 C_17 C_25,0-5-3
2850,C_09 C_17 C_26,1-3-1
2851,C_09 C_17 C_27,1-3-3
2852,C_09 C_17 C_28,1-7-1
2853,C_09 C_17 C_29,1-3-1
2854,C_09 C_18 C_19,1-7-1
2855,C_09 C_18 C_20,1-7-4
2856,C_09 C_18 C_21,1-8-0
2857,C_09 C_18 C_22,1-7-2
2858,C_09 C_18 C_23,0-8-0
2859,C_09 C_18 C_24,0-7-0
2860,C_09 C_18 C_25,1-7-2
2861,C_09 C_18 C_26,0-7-0
2862,C_09 C_18 C_27,0-7-2
2863,C_09 C_18 C_28,0-7-0
2864,C_09 C_18 C_29,0-7-0
2865,C_09 C_19 C_20,0-5-4
2866,C_09 C_19 C_21,0-8-0
2867,C_09 C_19 C_22,0-7-2
2868,C_09 C_19 C_23,1-8-0
2869,C_09 C_19 C_24,1-5-0
2870,C_09 C_19 C_25,0-5-2
2871,C_09 C_19 C_26,1-5-0
2872,C_09 C_19 C_27,1-5-2
2873,C_09 C_19 C_28,1-7-0
2874,C_09 C_19 C_29,1-5-0
2875,C_09 C_20 C_21,0-8-3
2876,C_09 C_20 C_22,0-7-0
2877,C_09 C_20 C_23,1-8-3
2878,C_09 C_20 C_24,1-4-3
2879,C_09 C_20 C_25,0-5-0
2880,C_09 C_20 C_26,1-4-3
2881,C_09 C_20 C_27,1-4-0
2882,C_09 C_20 C_28,1-7-3
2883,C_09 C_20 C_29,1-4-3
2884,C_09 C_21 C_22,0-8-1
2885,C_09 C_21 C_23,1-8-4
2886,C_09 C_21 C_24,1-8-4
2887,C_09 C_21 C_25,0-8-1
2888,C_09 C_21 C_26,1-8-4
2889,C_09 C_21 C_27,1-8-1
2890,C_09 C_21 C_28,1-8-4
2891,C_09 C_21 C_29,1-8-4
2892,C_09 C_22 C_23,1-8-1
2893,C_09 C_22 C_24,1-7-1
2894,C_09 C_22 C_25,0-7-3
2895,C_09 C_22 C_26,1-7-1
2896,C_09 C_22 C_27,1-7-3
2897,C_09 C_22 C_28,1-7-1
2898,C_09 C_22 C_29,1-7-1
2899,C_09 C_23 C_24,0-8-4
2900,C_09 C_23 C_25,1-8-1
2901,C_09 C_23 C_26,0-8-4
2902,C_09 C_23 C_27,0-8-1
2903,C_09 C_23 C_28,0-8-4
2904,C_09 C_23 C_29,0-8-4
2905,C_09 C_24 C_25,1-5-1
2906,C_09 C_24 C_26,0-3-4
2907,C_09 C_24 C_27,0-3-1
2908,C_09 C_24 C_28,0-7-4
2909,C_09 C_24 C_29,0-3-4
2910,C_09 C_25 C_26,1-5-1
2911,C_09 C_25 C_27,1-5-3
2912,C_09 C_25 C_28,1-7-1
2913,C_09 C_25 C_29,1-5-1
2914,C_09 C_26 C_27,0-3-1
2915,C_09 C_26 C_28,0-7-4
2916,C_09 C_26 C_29,0-3-4
2917,C_09 C_27 C_28,0-7-1
2918,C_09 C_27 C_29,0-3-1
2919,C_09 C_28 C_29,0-7-4
2920,C_10 C_11 C_12,1-5-3
2921,C_10 C_11 C_13,0-6-0
2922,C_10 C_11 C_14,1-9-2
2923,C_10 C_11 C_15,0-5-0
2924,C_10 C_11 C_16,0-5-0
2925,C_10 C_11 C_17,0-5-3
2926,C_10 C_11 C_18,1-7-2
2927,C_10 C_11 C_19,0-5-2
2928,C_10 C_11 C_20,0-5-0
2929,C_10 C_11 C_21,0-8-1
2930,C_10 C_11 C_22,0-7-3
2931,C_10 C_11 C_23,1-8-1
2932,C_10 C_11 C_24,1-5-1
2933,C_10 C_11 C_25,0-5-3
2934,C_10 C_11 C_26,1-5-1
2935,C_10 C_11 C_27,1-5-3
2936,C_10 C_11 C_28,1-7-1
2937,C_10 C_11 C_29,1-5-1
2938,C_10 C_12 C_13,1-6-1
2939,C_10 C_12 C_14,0-9-3
2940,C_10 C_12 C_15,1-1-1
2941,C_10 C_12 C_16,1-4-1
2942,C_10 C_12 C_17,1-1-4
2943,C_10 C_12 C_18,0-7-3
2944,C_10 C_12 C_19,1-5-3
2945,C_10 C_12 C_20,1-4-1
2946,C_10 C_12 C_21,1-8-2
2947,C_10 C_12 C_22,1-7-4
2948,C_10 C_12 C_23,0-8-2
2949,C_10 C_12 C_24,0-1-2
2950,C_10 C_12 C_25,1-5-4
2951,C_10 C_12 C_26,0-1-2
2952,C_10 C_12 C_27,0-3-4
2953,C_10 C_12 C_28,0-7-2
2954,C_10 C_12 C_29,0-2-2
2955,C_10 C_13 C_14,1-9-0
2956,C_10 C_13 C_15,0-6-3
2957,C_10 C_13 C_16,0-6-3
2958,C_10 C_13 C_17,0-6-1
2959,C_10 C_13 C_18,1-7-0
2960,C_10 C_13 C_19,0-6-0
2961,C_10 C_13 C_20,0-6-3
2962,C_10 C_13 C_21,0-8-4
2963,C_10 C_13 C_22,0-7-1
2964,C_10 C_13 C_23,1-8-4
2965,C_10 C_13 C_24,1-6-4
2966,C_10 C_13 C_25,0-6-1
2967,C_10 C_13 C_26,1-6-4
2968,C_10 C_13 C_27,1-6-1
2969,C_10 C_13 C_28,1-7-4
2970,C_10 C_13 C_29,1-6-4
2971,C_10 C_14 C_15,1-9-0
2972,C_10 C_14 C_16,1-9-0
2973,C_10 C_14 C_17,1-9-3
2974,C_10 C_14 C_18,0-9-2
2975,C_10 C_14 C_19,1-9-2
2976,C_10 C_14 C_20,1-9-0
2977,C_10 C_14 C_21,1-9-1
2978,C_10 C_14 C_22,1-9-3
2979,C_10 C_14 C_23,0-9-1
2980,C_10 C_14 C_24,0-9-1
2981,C_10 C_14 C_25,1-9-3
2982,C_10 C_14 C_26,0-9-1
2983,C_10 C_14 C_27,0-9-3
2984,C_10 C_14 C_28,0-9-1
2985,C_10 C_14 C_29,0-9-1
2986,C_10 C_15 C_16,0-4-3
2987,C_10 C_15 C_17,0-1-1
2988,C_10 C_15 C_18,1-7-0
2989,C_10 C_15 C_19,0-5-0
2990,C_10 C_15 C_20,0-4-3
2991,C_10 C_15 C_21,0-8-4
2992,C_10 C_15 C_22,0-7-1
2993,C_10 C_15 C_23,1-8-4
2994,C_10 C_15 C_24,1-1-4
2995,C_10 C_15 C_25,0-5-1
2996,C_10 C_15 C_26,1-1-4
2997,C_10 C_15 C_27,1-3-1
2998,C_10 C_15 C_28,1-7-4
2999,C_10 C_15 C_29,1-2-4
3000,C_10 C_16 C_17,0-4-1
3001,C_10 C_16 C_18,1-7-0
3002,C_10 C_16 C_19,0-5-0
3003,C_10 C_16 C_20,0-4-3
3004,C_10 C_16 C_21,0-8-4
3005,C_10 C_16 C_22,0-7-1
3006,C_10 C_16 C_23,1-8-4
3007,C_10 C_16 C_24,1-4-4
3008,C_10 C_16 C_25,0-5-1
3009,C_10 C_16 C_26,1-4-4
3010,C_10 C_16 C_27,1-4-1
3011,C_10 C_16 C_28,1-7-4
3012,C_10 C_16 C_29,1-4-4
3013,C_10 C_17 C_18,1-7-3
3014,C_10 C_17 C_19,0-5-3
3015,C_10 C_17 C_20,0-4-1
3016,C_10 C_17 C_21,0-8-2
3017,C_10 C_17 C_22,0-7-4
3018,C_10 C_17 C_23,1-8-2
3019,C_10 C_17 C_24,1-1-2
3020,C_10 C_17 C_25,0-5-4
3021,C_10 C_17 C_26,1-1-2
3022,C_10 C_17 C_27,1-3-4
3023,C_10 C_17 C_28,1-7-2
3024,C_10 C_17 C_29,1-2-2
3025,C_10 C_18 C_19,1-7-2
3026,C_10 C_18 C_20,1-7-0
3027,C_10 C_18 C_21,1-8-1
3028,C_10 C_18 C_22,1-7-3
3029,C_10 C_18 C_23,0-8-1
3030,C_10 C_18 C_24,0-7-1
3031,C_10 C_18 C_25,1-7-3
3032,C_10 C_18 C_26,0-7-1
3033,C_10 C_18 C_27,0-7-3
3034,C_10 C_18 C_28,0-7-1
3035,C_10 C_18 C_29,0-7-1
3036,C_10 C_19 C_20,0-5-0
3037,C_10 C_19 C_21,0-8-1
3038,C_10 C_19 C_22,0-7-3
3039,C_10 C_19 C_23,1-8-1
3040,C_10 C_19 C_24,1-5-1
3041,C_10 C_19 C_25,0-5-3
3042,C_10 C_19 C_26,1-5-1
3043,C_10 C_19 C_27,1-5-3
3044,C_10 C_19 C_28,1-7-1
3045,C_10 C_19 C_29,1-5-1
3046,C_10 C_20 C_21,0-8-4
3047,C_10 C_20 C_22,0-7-1
3048,C_10 C_20 C_23,1-8-4
3049,C_10 C_20 C_24,1-4-4
3050,C_10 C_20 C_25,0-5-1
3051,C_10 C_20 C_26,1-4-4
3052,C_10 C_20 C_27,1-4-1
3053,C_10 C_20 C_28,1-7-4
3054,C_10 C_20 C_29,1-4-4
3055,C_10 C_21 C_22,0-8-2
3056,C_10 C_21 C_23,1-8-0
3057,C_10 C_21 C_24,1-8-0
3058,C_10 C_21 C_25,0-8-2
3059,C_10 C_21 C_26,1-8-0
3060,C_10 C_21 C_27,1-8-2
3061,C_10 C_21 C_28,1-8-0
3062,C_10 C_21 C_29,1-8-0
3063,C_10 C_22 C_23,1-8-2
3064,C_10 C_22 C_24,1-7-2
3065,C_10 C_22 C_25,0-7-4
3066,C_10 C_22 C_26,1-7-2
3067,C_10 C_22 C_27,1-7-4
3068,C_10 C_22 C_28,1-7-2
3069,C_10 C_22 C_29,1-7-2
3070,C_10 C_23 C_24,0-8-0
3071,C_10 C_23 C_25,1-8-2
3072,C_10 C_23 C_26,0-8-0
3073,C_10 C_23 C_27,0-8-2
3074,C_10 C_23 C_28,0-8-0
3075,C_10 C_23 C_29,0-8-0
3076,C_10 C_24 C_25,1-5-2
3077,C_10 C_24 C_26,0-1-0
3078,C_10 C_24 C_27,0-3-2
3079,C_10 C_24 C_28,0-7-0
3080,C_10 C_24 C_29,0-2-0
3081,C_10 C_25 C_26,1-5-2
3082,C_10 C_25 C_27,1-5-4
3083,C_10 C_25 C_28,1-7-2
3084,C_10 C_25 C_29,1-5-2
3085,C_10 C_26 C_27,0-3-2
3086,C_10 C_26 C_28,0-7-0
3087,C_10 C_26 C_29,0-2-0
3088,C_10 C_27 C_28,0-7-2
3089,C_10 C_27 C_29,0-3-2
3090,C_10 C_28 C_29,0-7-0
3091,C_11 C_12 C_13,1-6-0
3092,C_11 C_12 C_14,0-9-2
3093,C_11 C_12 C_15,1-5-0
3094,C_11 C_12 C_16,1-5-0
3095,C_11 C_12 C_17,1-5-3
3096,C_11 C_12 C_18,0-7-2
3097,C_11 C_12 C_19,1-5-2
3098,C_11 C_12 C_20,1-5-0
3099,C_11 C_12 C_21,1-8-1
3100,C_11 C_12 C_22,1-7-3
3101,C_11 C_12 C_23,0-8-1
3102,C_11 C_12 C_24,0-5-1
3103,C_11 C_12 C_25,1-5-3
3104,C_11 C_12 C_26,0-5-1
3105,C_11 C_12 C_27,0-5-3
3106,C_11 C_12 C_28,0-7-1
3107,C_11 C_12 C_29,0-5-1
3108,C_11 C_13 C_14,1-9-4
3109,C_11 C_13 C_15,0-6-2
3110,C_11 C_13 C_16,0-6-2
3111,C_11 C_13 C_17,0-6-0
3112,C_11 C_13 C_18,1-7-4
3113,C_11 C_13 C_19,0-6-4
3114,C_11 C_13 C_20,0-6-2
3115,C_11 C_13 C_21,0-8-3
3116,C_11 C_13 C_22,0-7-0
3117,C_11 C_13 C_23,1-8-3
3118,C_11 C_13 C_24,1-6-3
3119,C_11 C_13 C_25,0-6-0
3120,C_11 C_13 C_26,1-6-3
3121,C_11 C_13 C_27,1-6-0
3122,C_11 C_13 C_28,1-7-3
3123,C_11 C_13 C_29,1-6-3
3124,C_11 C_14 C_15,1-9-4
3125,C_11 C_14 C_16,1-9-4
3126,C_11 C_14 C_17,1-9-2
3127,C_11 C_14 C_18,0-9-1
3128,C_11 C_14 C_19,1-9-1
3129,C_11 C_14 C_20,1-9-4
3130,C_11 C_14 C_21,1-9-0
3131,C_11 C_14 C_22,1-9-2
3132,C_11 C_14 C_23,0-9-0
3133,C_11 C_14 C_24,0-9-0
3134,C_11 C_14 C_25,1-9-2
3135,C_11 C_14 C_26,0-9-0
3136,C_11 C_14 C_27,0-9-2
3137,C_11 C_14 C_28,0-9-0
3138,C_11 C_14 C_29,0-9-0
3139,C_11 C_15 C_16,0-5-2
3140,C_11 C_15 C_17,0-5-0
3141,C_11 C_15 C_18,1-7-4
3142,C_11 C_15 C_19,0-5-4
3143,C_11 C_15 C_20,0-5-2
3144,C_11 C_15 C_21,0-8-3
3145,C_11 C_15 C_22,0-7-0
3146,C_11 C_15 C_23,1-8-3
3147,C_11 C_15 C_24,1-5-3
3148,C_11 C_15 C_25,0-5-0
3149,C_11 C_15 C_26,1-5-3
3150,C_11 C_15 C_27,1-5-0
3151,C_11 C_15 C_28,1-7-3
3152,C_11 C_15 C_29,1-5-3
3153,C_11 C_16 C_17,0-5-0
3154,C_11 C_16 C_18,1-7-4
3155,C_11 C_16 C_19,0-5-4
3156,C_11 C_16 C_20,0-5-2
3157,C_11 C_16 C_21,0-8-3
3158,C_11 C_16 C_22,0-7-0
3159,C_11 C_16 C_23,1-8-3
3160,C_11 C_16 C_24,1-5-3
3161,C_11 C_16 C_25,0-5-0
3162,C_11 C_16 C_26,1-5-3
3163,C_11 C_16 C_27,1-5-0
3164,C_11 C_16 C_28,1-7-3
3165,C_11 C_16 C_29,1-5-3
3166,C_11 C_17 C_18,1-7-2
3167,C_11 C_17 C_19,0-5-2
3168,C_11 C_17 C_20,0-5-0
3169,C_11 C_17 C_21,0-8-1
3170,C_11 C_17 C_22,0-7-3
3171,C_11 C_17 C_23,1-8-1
3172,C_11 C_17 C_24,1-5-1
3173,C_11 C_17 C_25,0-5-3
3174,C_11 C_17 C_26,1-5-1
3175,C_11 C_17 C_27,1-5-3
3176,C_11 C_17 C_28,1-7-1
